driver_number,driver_name,lap_number,stint_number,compound,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration
27,HUL,11,2,SOFT,27.884,40.125,27.079,304.0,274,95.088
10,GAS,3,1,SOFT,33.591,50.412,40.456,235.0,219,124.459
40,RESERVE,9,3,SOFT,49.018,65.615,48.401,129.0,159,163.034
31,OCO,12,4,SOFT,37.125,51.447,43.004,204.0,172,131.576
24,ZHO,22,3,HARD,29.42,42.766,28.62,279.0,254,100.806
14,ALO,5,1,MEDIUM,49.868,67.748,38.414,265.0,216,156.03
20,MAG,21,3,HARD,29.431,43.263,28.47,284.0,258,101.164
4,NOR,5,1,MEDIUM,36.825,48.286,39.175,199.0,218,124.286
77,BOT,17,4,HARD,29.197,41.607,27.834,278.0,252,98.638
11,PER,7,1,HARD,28.33,40.766,27.251,307.0,276,96.347
81,PIA,15,4,SOFT,32.254,50.373,38.203,236.0,231,120.83
27,HUL,18,4,SOFT,51.971,50.68,44.038,238.0,198,146.689
27,HUL,15,4,SOFT,27.19,39.446,26.26,312.0,278,92.896
77,BOT,6,1,HARD,27.873,39.943,26.899,300.0,271,94.715
11,PER,5,1,HARD,45.101,69.165,53.107,131.0,121,167.373
16,LEC,24,5,MEDIUM,29.007,42.325,28.036,284.0,256,99.368
14,ALO,12,3,SOFT,35.875554819720385,53.208,36.995,165.0,246,406.001
2,SAR,3,1,MEDIUM,39.749,55.615,35.276,179.0,236,130.64
31,OCO,6,1,MEDIUM,28.412,40.656,27.385,301.0,271,96.453
23,ALB,5,1,HARD,44.139,61.061,45.344,202.0,177,150.544
10,GAS,9,3,SOFT,32.682,48.392,39.706,265.0,242,120.78
2,SAR,16,4,SOFT,58.318,48.638,41.829,252.29595222295953,235,148.785
2,SAR,22,5,MEDIUM,29.492,43.267,28.299,252.29595222295953,263,101.058
27,HUL,6,2,MEDIUM,65.697,46.615,38.545,277.0,198,150.857
16,LEC,19,6,SOFT,35.875554819720385,57.421,58.254,249.0,224,276.791
40,RESERVE,4,1,MEDIUM,50.015,61.763,37.433,100.0,242,149.211
22,TSU,18,3,SOFT,35.875554819720385,44.081,28.448,282.0,254,607.1
63,RUS,25,5,HARD,63.459,46.942,41.95,250.0,170,152.351
11,PER,14,3,SOFT,27.359,39.018,26.435,305.0,273,92.812
4,NOR,17,5,SOFT,31.705,47.613,39.951,216.0,210,119.269
1,VER,19,6,SOFT,44.004,49.307,33.867,183.0,191,127.178
1,VER,4,1,MEDIUM,27.828,39.802,26.571,306.0,271,94.201
23,ALB,10,2,SOFT,27.927,40.557,26.901,308.0,276,95.385
16,LEC,12,3,SOFT,44.69,68.746,52.812,142.0,136,166.248
24,ZHO,3,1,HARD,28.974,42.636,28.407,299.0,271,100.017
63,RUS,16,6,SOFT,26.785,38.406,25.865,308.0,277,91.056
16,LEC,15,4,SOFT,27.033,39.242,38.812,252.29595222295953,278,105.087
27,HUL,19,6,SOFT,35.875554819720385,63.337,36.052,231.0,228,272.158
81,PIA,18,4,MEDIUM,28.624,43.214,28.38,304.0,271,100.218
55,SAI,22,4,MEDIUM,29.046,42.043,27.736,285.0,255,98.825
10,GAS,20,3,HARD,29.101,42.125,27.909,286.0,257,99.135
24,ZHO,14,3,SOFT,27.267,39.605,26.703,306.0,275,93.575
10,GAS,4,1,HARD,28.033,40.196,26.997,302.0,272,95.226
77,BOT,14,2,MEDIUM,31.945,53.499,31.391,270.0,212,116.835
77,BOT,18,2,SOFT,29.159,42.872,36.065,287.0,254,108.096
40,RESERVE,25,3,SOFT,29.246,42.26,28.009,286.0,258,99.515
11,PER,11,3,SOFT,33.647,50.102,39.226,232.0,232,122.975
20,MAG,13,3,SOFT,27.233,39.405,26.504,309.0,278,93.142
14,ALO,2,1,MEDIUM,28.01,40.317,27.023,304.0,273,95.35
40,RESERVE,12,2,SOFT,42.03,64.231,44.807,143.0,239,151.068
27,HUL,5,1,HARD,43.237,63.668,41.914,200.0,143,148.819
44,HAM,5,2,SOFT,27.487,39.448,26.814,308.0,277,93.749
40,RESERVE,9,2,SOFT,35.875554819720385,64.704,37.52,273.0,229,598.757
63,RUS,8,1,MEDIUM,35.848,49.275,39.921,242.0,238,125.044
16,LEC,3,1,MEDIUM,54.176,75.713,45.446,136.0,140,175.335
10,GAS,6,1,MEDIUM,27.899,40.045,26.738,304.0,274,94.682
11,PER,23,4,MEDIUM,57.536,44.198,40.704,279.0,240,142.438
16,LEC,10,1,HARD,27.741,40.357,27.035,306.0,275,95.133
44,HAM,10,3,SOFT,35.875554819720385,68.14,56.172,148.0,186,841.488
1,VER,8,2,SOFT,35.875554819720385,55.652,35.827,221.0,227,786.876
77,BOT,8,2,SOFT,29.151,41.896,27.874,278.0,255,98.921
1,VER,16,5,SOFT,61.941,51.534,44.279,120.0,193,157.754
63,RUS,10,4,SOFT,35.875554819720385,53.823,45.369,268.0,243,276.836
10,GAS,3,1,MEDIUM,44.152,61.874,39.857,211.0,232,145.883
44,HAM,20,4,MEDIUM,28.933,42.173,32.586,291.0,263,103.692
40,RESERVE,17,3,MEDIUM,29.174,41.699,27.714,279.0,252,98.587
40,RESERVE,16,3,MEDIUM,29.333,41.932,27.844,278.0,253,99.109
11,PER,4,1,MEDIUM,27.769,39.622,26.637,306.0,273,94.028
81,PIA,19,4,MEDIUM,28.705,42.598,27.766,306.0,260,99.069
16,LEC,9,1,HARD,46.107,64.099,36.594,113.0,169,146.8
11,PER,7,3,MEDIUM,35.875554819720385,63.735,36.104,160.0,227,670.302
14,ALO,3,1,MEDIUM,39.264,58.95,34.246,168.0,244,132.46
77,BOT,9,2,SOFT,32.412,55.534,95.088,264.0,138,183.034
81,PIA,3,1,MEDIUM,42.816,60.305,38.799,168.0,152,141.92
22,TSU,7,3,SOFT,35.875554819720385,64.594,38.257,241.0,219,2161.906
63,RUS,14,5,SOFT,34.941,47.996,39.699,272.0,252,122.636
81,PIA,7,2,HARD,27.543,40.281,26.754,305.0,273,94.578
31,OCO,15,2,SOFT,45.806,68.216,48.749,116.0,113,162.771
40,RESERVE,21,3,SOFT,29.383,42.567,28.148,252.29595222295953,258,100.098
55,SAI,17,5,SOFT,33.179,45.481,38.16,246.0,233,116.82
4,NOR,7,2,MEDIUM,28.056,40.55,27.086,301.0,273,95.692
14,ALO,4,1,MEDIUM,27.601,39.905,26.559,307.0,276,94.065
22,TSU,6,1,MEDIUM,47.502,72.57,49.745,112.0,100,169.817
1,VER,20,3,MEDIUM,28.978,41.861,27.81,286.0,253,98.649
1,VER,10,3,SOFT,27.25,38.931,26.126,305.0,277,92.307
55,SAI,19,5,SOFT,27.166,68.197,42.833,310.0,151,138.196
40,RESERVE,19,3,SOFT,51.336,44.724,36.323,288.0,260,132.383
81,PIA,9,2,HARD,28.678,40.546,36.674,307.0,273,105.898
2,SAR,17,4,HARD,29.207,42.635,27.968,287.0,263,99.81
2,SAR,13,3,SOFT,57.982,68.235,44.774,247.0,241,170.991
22,TSU,12,4,SOFT,35.875554819720385,63.895,40.647,136.0,198,712.418
11,PER,12,2,SOFT,27.628,60.785,43.134,307.0,131,131.547
1,VER,10,3,MEDIUM,29.118,41.832,27.633,282.0,251,98.583
2,SAR,5,1,SOFT,27.688,39.783,26.665,308.0,277,94.136
2,SAR,9,2,SOFT,41.971,62.235,41.609,225.0,239,145.815
63,RUS,13,3,SOFT,35.875554819720385,59.887,31.572,227.0,248,390.021
31,OCO,3,1,SOFT,35.303,52.932,41.354,155.0,148,129.589
16,LEC,2,1,MEDIUM,27.991,40.327,27.1,307.0,275,95.418
27,HUL,14,4,MEDIUM,29.42,42.009,28.131,284.0,256,99.56
14,ALO,12,2,HARD,34.183,49.111,36.71,266.0,239,120.004
4,NOR,16,5,SOFT,26.876,38.738,25.925,310.0,279,91.539
16,LEC,22,5,SOFT,26.95,52.225,33.687,312.0,128,112.862
40,RESERVE,13,2,SOFT,35.875554819720385,61.919,46.611,252.0,239,550.13
44,HAM,15,5,SOFT,40.412,46.226,42.165,203.0,223,128.803
27,HUL,5,2,MEDIUM,27.73,40.192,26.797,313.0,280,94.719
18,STR,23,4,SOFT,29.02,42.635,27.727,294.0,266,99.382
1,VER,9,3,SOFT,35.875554819720385,49.283,29.216,219.0,241,2115.948
77,BOT,6,1,MEDIUM,28.431,41.327,27.58,300.0,270,97.338
10,GAS,9,2,SOFT,35.875554819720385,48.73,30.066,234.0,256,555.792
22,TSU,24,4,MEDIUM,28.981,42.083,27.701,285.0,262,98.765
77,BOT,23,3,SOFT,27.317,39.608,26.615,306.0,276,93.54
1,VER,20,6,SOFT,42.539,52.893,46.192,148.0,176,141.624
55,SAI,18,4,HARD,35.875554819720385,43.616,27.993,280.0,254,337.002
